country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Kuwait,2022,KWT,4268886,,,,,,,,,,,66.399,0.5,293.47,1.253,,,,,,,,,,82.957,18.707,6.4,26.674,103882.75,,6.409,26.676,,,103752.008,442.905,,,10.26,20.273,217.857,,,51033.602,10.421,12.601,31276.859,133.517,,,,,,,,,,,,,,,50.147,0.214,,0.258,,,,,,,,,,,,2.71,5.904,223.796,,,52424.934,12.161,183.741,396980.625,1694.665,,,0,0,,,0,0,,0,0,,,19432.926,443.464,,,,50.147,0.214,,0.258,,0,-0.002,0.546,49.033,0.209,127.836,0.252,,0,0,0.012,1.114,0.005,2.903,0.006,
Kyrgyzstan,2020,KGZ,6424880,,,,,,0,0,0,,91.528,,,,,213.234,1.37,,,,,8.472,,16.22,16.17,,0.235,0.157,10439.837,,,,213.234,1.37,,,8.472,,,,,0,0,,,,,,0,,1.48,,,,2303.545,14.8,,91.528,,,,,2303.545,14.8,,91.528,,0.05,0.308,,,,0,0,,0,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,2516.779,67.075,,,,2303.545,14.8,,91.528,,,,,0,0,,0,,,,,0,0,,0,
Kyrgyzstan,2021,KGZ,6527742,,,,,,0,0,0,,104.426,,,,,223.661,1.46,,,,,10.097,,14.51,14.46,,-9.739,-6.532,9274.61,,,,223.661,1.46,,,10.097,,,,,0,0,,,,,,0,,1.51,,,,1991.5,13,,89.903,,,,,1991.5,13,,89.903,,0.05,0.345,,,,0,0,,0,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,2215.161,60.542,,,,1991.5,13,,89.903,,,,,0,0,,0,,,,,0,0,,0,
Laos,2020,LAO,7319397,,,,,,77.875,0.57,1.451,,232.688,,,,,1388.093,10.16,,,,,25.866,,9.91,39.28,,9.382,12.35,19671.4,,,,1388.093,10.16,,,25.866,,,,,0,0,,,,,,0,,9.14,,,,3895.13,28.51,,72.581,,,,,3978.47,29.12,,74.134,,-29.37,-296.367,,,,0,0,,0,,,,,0,0,,,,,,0,,,0.57,0,,,77.875,0,,1.451,0,,5366.562,143.983,,,,3978.47,29.12,,74.134,,,,,5.465,0.04,,0.102,,,,,0,0,,0,
Laos,2021,LAO,7425055,,,,,,82.154,0.61,1.526,,242.182,,,,,1455.881,10.81,,,,,27.045,,8.82,39.97,,-2.807,-4.042,18847.086,,,,1455.881,10.81,,,27.045,,,,,0,0,,,,,,0,,9.68,,,,3839.702,28.51,,71.328,,,,,3927.244,29.16,,72.955,,-31.15,-353.175,,,,0,0,,0,,,,,0,0,,,,,,0,,,0.61,0,,,82.154,0,,1.526,0,,5383.125,139.941,,,,3927.244,29.16,,72.955,,,,,5.387,0.04,,0.1,,,,,0,0,,0,
Latvia,2020,LVA,1897057,,34.514,0.144,294.968,0.56,453.334,0.86,15.035,1.37,223.776,-40.734,-0.194,148.915,0.282,0,0,,,,,0,0.691,7.35,5.72,14.001,-8.882,-3.983,21535.734,,-14.849,-5.27,1096.435,2.08,15930.371,30.221,36.364,73.972,-18.195,-2.387,10.732,1096.435,2.08,5657.118,,,,,36.364,26.269,1.28,23.51,1.281,6.836,1370.544,2.6,3603.656,45.455,16.733,16.657,1.288,10.634,1918.761,3.64,5605.362,63.636,26.028,1.63,22.177,,0,0,0,0,0,0,0,-12.281,-2.689,19.206,0,0,10124.339,,,,,0,47.012,2.761,0.86,0,-6.752,-0.2,453.334,0,1455.208,15.035,0,6.757,3015.197,40.855,16.657,1.288,10.634,1918.761,3.64,5605.362,63.636,26.028,54.511,0.004,0.013,0,0,6.71,0,0.031,14.833,0.059,0.464,94.884,0.18,244.82,3.147,1.137
Latvia,2021,LVA,1873926,,0.415,0.002,299.848,0.562,458.93,0.86,14.701,1.325,223.932,-22.517,-0.064,116.808,0.219,0,0,,,,,0,0.516,7.62,5.85,13.798,3.78,1.544,22625.613,,4.605,1.392,1136.651,2.13,16869.666,31.613,36.41,74.56,7.982,0.857,11.588,1136.651,2.13,6184.075,,,,,36.41,27.332,1.31,4.024,0.249,7.085,1446.162,2.71,3781.06,46.325,16.711,1.678,0.153,10.786,1985.137,3.72,5755.948,63.59,25.44,1.77,23.228,,0,0,0,0,0,0,0,3.117,0.599,19.805,0,0,10568.782,,,,,0,46.712,2.751,0.86,0,-0.347,-0.01,458.93,0,1468.053,14.701,0,6.488,3121.788,42.399,1.678,0.153,10.786,1985.137,3.72,5755.948,63.59,25.44,40.231,0.005,0.018,5.336,0.01,9.491,0.171,0.042,-20.021,-0.094,0.37,74.709,0.14,197.496,2.393,0.873
Latvia,2022,LVA,1850654,,-25.221,-0.142,227.045,0.42,367.438,0.68,13.439,1.059,181.818,8.554,0.019,128.394,0.238,0,0,,,,,0,0.599,7.37,5.06,12.755,-6.436,-2.729,21435.611,,-8.279,-2.617,761.893,1.41,15667.594,28.995,27.866,73.091,-30.066,-3.484,8.104,761.893,1.41,4379.127,,,,,27.866,20.429,0.92,1.598,0.087,7.172,1496.768,2.77,3875.6,54.743,18.08,-2.478,-0.112,10.675,1972.276,3.65,5768.018,72.134,26.909,2.31,31.343,,0,0,0,0,0,0,0,4.283,0.848,20.653,0,0,11160.071,,,,,0,52.063,2.557,0.68,0,-7.067,-0.194,367.438,0,1381.468,13.439,0,6.445,2734.168,39.67,-2.478,-0.112,10.675,1972.276,3.65,5768.018,72.134,26.909,0,0,0.018,5.403,0.01,9.575,0.198,0.045,37.681,0.138,0.508,102.666,0.19,274.33,3.755,1.28
Lebanon,2020,LBN,5662924,,,,,,5.298,0.03,0.154,,595.69,,,,,0,0,,,,,0,,19.49,19.49,,-2.62,-2.795,18341.434,,,,3228.015,18.28,,,93.792,,,,,1034.801,5.86,,,,,,30.067,,11.61,,,,185.417,1.05,,5.387,,,,,213.671,1.21,,6.208,,0,0,,,,0,0,,0,,,,,2193.213,12.42,,,,,,63.725,,,0.03,0,,,5.298,0,,0.154,0,,3441.685,103.866,,,,213.671,1.21,,6.208,,,,,21.19,0.12,,0.616,,,,,1.766,0.01,,0.051,
Lebanon,2021,LBN,5592626,,,,,,5.364,0.03,0.146,,594.752,,,,,0,0,,,,,0,,20.67,20.58,,1.398,1.452,18831.662,,,,3477.794,19.45,,,94.509,,,,,1203.37,6.73,,,,,,32.702,,12.24,,,,173.443,0.97,,4.713,,,,,202.052,1.13,,5.491,,0.09,0.435,,,,0,0,,0,,,,,2274.424,12.72,,,,,,61.808,,,0.03,0,,,5.364,0,,0.146,0,,3679.845,105.318,,,,202.052,1.13,,5.491,,,,,21.457,0.12,,0.583,,,,,1.788,0.01,,0.049,
